post_text,stars
"
        Мои родители всегда были помешаны на учёбе. В школе я, заболевшая, должна была выпить что-нибудь снимающее симптомы и идти на уроки. Мороз -30, другие родители не выпускают детей из дома, в школе с отоплением беда,  приходится сидеть в куртках и рукавицах - я всё равно должна идти.
 С поступлением в универ ничего не изменилось.
 Я хорошо училась. Но мне надоело. Два месяца назад я получила работу мечты. Родителям врала, что каждый день допоздна сижу в универе, потому что они считают, что я должна выучиться сначала.
 Учебу запустила, и сейчас надо мной нависла угроза отчисления.
 Зарплата должна была позволить мне снять себе квартиру и спокойно жить. Но сегодня я узнала, что из-за того, что последний месяц постоянно отпрашивалась с работы из-за сессии, я не прошла испытательный срок...
 Может, и вправду не стоило гнаться за двумя зайцами?
 КМП, или родители сами меня прикончат.
    ",2591
"
        Моя мама пьёт много лет, и никакие разговоры и прочее тут не помогает. Она не ложится спать после выпивки, а начинает буянить. Может даже ударить кого-то. Но брат и отец не станут давать сдачи, а мне было тупо страшно. До недавних пор.
 У меня сдали нервы, отбивалась она вяло, в итоге я сломала ей нос, разбила губу и поставила кучу синяков на руках. Мне было стыдно. И вместе с тем, хотелось плакать от счастья. Начала неосознанно её провоцировать, чтоб потом ударить или толкнуть или поцарапать, якобы защищаясь. Остальные делают вид, что ничего не происходит. Я понимаю, что это ненормально, но просто не могу себя контролировать. Уже закрадываются мысли сделать что-то похуже. КМП, пока не наделала беды.
    ",2356
"
        Когда я родилась, отец отказался от меня из-за того, что я не того пола, бросил маму со мной и старшим братом. Они развелись, но продолжали жить в одной квартире. Скандалы каждый день. Денег не было. Мать посылала меня вымаливать на хлеб у отца, а он постоянно меня посылал.
 Когда мне было 14, брат уехал, а мать привела домой алкаша, который каждый день издевался надо мной. Унижал, приставал, напивался. Он жил со мной и матерью в комнате, каждую ночь они ""сношались"" в двух метрах от меня. Я не могла спать.
 В 21 я выгнала этого урода из дома и съехала сама. Сейчас мне почти 30. У меня хорошая работа, муж. Но каждый день я просыпаюсь с четким желанием умереть. Я живу через силу. Мне ничего не хочется, не нравится, ничего не занимает, все силы уходят на то, чтобы сдерживаться и не вскрыться. И не с кем поговорить об этом. Хожу к плихологу, пью таблетки - и все без толку. КМП.
    ",2930
"
        Вчера я приняла одно из самых трудных решений в жизни, а сегодня моего Фунтика не стало.
 Нет, это не собака и не кот, а морская свинка, но он был со мной пять с половиной лет. Последние 11 месяцев он тяжело и необратимо болел, и всё это время я выкармливала его из шприца, обрезала зубы, купала, лечила.
 А сегодня его усыпили. Я понимаю, что один укол и быстрая смерть лучше, чем еще неделя или две голодной смерти, но от этого не легче.
 КМП, сердце просто разрывается.
    ",1866
"

    ",2370
"
        До свадьбы мы вместе не жили. Она не хотела, я и не настаивал, а как расписались, она переехала ко мне. Влюблённость скоро прошла и оказалось, что я женат на лентяйке!
 В постели вот вообще всё отлично, а по хозяйству - полный ноль. Здесь бывают истории, как уставшая на работе жена приходит домой и вынуждена готовить, стирать, убирать, а муж лежит на диване и ничего не делает, а потом ещё секса требует. Так вот, у меня обратная ситуация. Она работает пять часов в день, приходит домой и смотрит телевизор или в интернете сидит. Бельё развесить, яичницу пожарить - непосильная задача. Я после работы готовлю себе и ей. Причём полуфабрикаты она не ест. Вечером падаю от усталости, а она в новой ночной рубашке за шесть тысяч удивляется, что я её не хочу. Я, блин, спать хочу!В общем, КМП, развожусь из-за ""не сошлись характерами""...
    ",2739
"
        Три месяца назад отвадил хулиганов, пристающих на улице к какой-то девушке. Через неделю оказалось, что учимся в одном вузе, и эта бедолага начала всюду за мной ходить, втискиваться в мои компании. Намёков попросту не понимала, а сказать ей напрямую, что мы с моей девушкой ВДВОЁМ хотим пойти в кино или ресторан и брать её с собой желания не имеем - не хватало духа.
 Вчера моя девушка сказала, что её такое положение дел окончательно достало, и что если я не могу отвадить ""эту пиявку"", то лучше бы мне с ней и встречаться.
 КМП.
    ",1326
"
        Родители мужа развелись, когда он был маленьким, и мама увезла его с Украины в Росиию. Квартиру продали, а деньги его мама потратила, не подумав о том, как жить дальше. Они снимали жильё, получили гражданство.
 У меня ситуация похожая: мы с мамой сбежали от отца в другой город, жили на съёмной квартире. Но экономили на всём, скопили денег на первый взнос и взяли ипотеку. С трудом, но выплатили раньше срока. Сейчас здесь живём мы с мужем. Свекровь по прежнему снимает квартиру, все ждёт, что своё жильё свалится ей с неба. А недавно у неё не закончилась временная регистрация. За новую регистрацию просят немало денег, а она, как всегда, все потратила на ерунду. И теперь мой муж уговаривает меня сделать его маме регистрацию в нашей с мамой квартире, типа что нам, жалко что ли. А мне действительно жалко, почему я должна помогать женщине, которая сама не позаботилась о своём будущем, о будущем сына? Она жила одним днём, ни в чем себе не отказывая, в то время как мы с мамой экономили каждую копейку. КМП злую невестку .
    ",2727
"
        Несколько лет назад мой муж спас меня, практически пожертвовав собой. Рассказывать долго, просто представьте себе, что он уступил мне свое место в шлюпке на «Титанике». К счастью мы оба живы и здоровы.
 С некоторых пор я совершенно не чувствую к нему любви. Зато появился другой мужчина, которого я не просто люблю, а обожаю. Хотя понимаю, что он махровый эгоист, и на том «Титанике» он меня бы из шлюпки выпихнул, чтобы самому спастись. Но как только слышу его нежный голос, чувствую ласковые руки и страстные поцелуи – забываю обо всем на свете. А к мужу осталась только благодарность, но появляются мыслишки, что если бы тогда чуда не произошло – ничто бы сейчас мне не мешало быть с моим любимым. А признаться мужу и оставить его – последней тварью себя буду чувствовать.
 Стреляйте.
    ",2533
"
        Понравилась коллега на новой работе. Предложил встречаться, она предупредила, что только недавно выбралась из очень сложных отношений и у нее неадекватный бывший, с которым могут быть проблемы. Я подумал, что там какой-нибудь психопат ревнивый или гопник, ну в общем человек, с которым я поговорю по-мужски и все. Короче, не испугался и девушку заверил, что умею решать конфликты.
 Первые два месяца никакой бывший на горизонте не маячил, я уже расслабился. Но вот мы съехались, не прошло недели, как меня отловила на улице пожилая тетка. Заявила, что она - мама бывшего парня моей девушки! Мама, Карл! И потребовала вернуть девушку обратно!
 Оказалось, до меня у девушки был типичный мамочкин сынок. Нежная, ранимая душа, по-нормальному говоря, истеричный неудачник. Девушка моя долго не интересовалась отношениями, а когда спохватилась, 23-летней девственницы не испугался только он. Получила свое, ушло, но не тут-то было. Он влюбился и с тех пор преследует ее вместе с мамочкой!
 Я даже не знаю, что предпринять, а что-то ведь надо. КМП?
    ",1413
